Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2021-08-13,Brentford,Arsenal,2.0,0.0,H,74,80,-6
2021-08-14,Man United,Leeds,5.0,1.0,H,83,76,7
2021-08-14,Watford,Aston Villa,3.0,2.0,H,74,78,-4
2021-08-14,Leicester,Wolves,1.0,0.0,H,80,78,2
2021-08-14,Everton,Southampton,3.0,1.0,H,78,76,2
2021-08-14,Chelsea,Crystal Palace,3.0,0.0,H,84,76,8
2021-08-14,Burnley,Brighton,1.0,2.0,A,76,76,0
2021-08-14,Norwich City,Liverpool,0.0,3.0,A,73,85,-12
2021-08-15,Newcastle,West Ham,2.0,4.0,A,77,79,-2
2021-08-15,Tottenham,Man City,1.0,0.0,H,81,85,-4
2021-08-21,Liverpool,Burnley,2.0,0.0,H,85,76,9
2021-08-21,Man City,Norwich City,5.0,0.0,H,85,73,12
2021-08-21,Leeds,Everton,2.0,2.0,D,76,78,-2
2021-08-21,Crystal Palace,Brentford,0.0,0.0,D,76,74,2
2021-08-21,Aston Villa,Newcastle,2.0,0.0,H,78,77,1
2021-08-21,Brighton,Watford,2.0,0.0,H,76,74,2
2021-08-22,Wolves,Tottenham,0.0,1.0,A,78,81,-3
2021-08-22,Southampton,Man United,1.0,1.0,D,76,83,-7
2021-08-22,Arsenal,Chelsea,0.0,2.0,A,80,84,-4
2021-08-23,West Ham,Leicester,4.0,1.0,H,79,80,-1
2021-08-28,Man City,Arsenal,5.0,0.0,H,85,80,5
2021-08-28,West Ham,Crystal Palace,2.0,2.0,D,79,76,3
2021-08-28,Norwich City,Leicester,1.0,2.0,A,73,80,-7
2021-08-28,Newcastle,Southampton,2.0,2.0,D,77,76,1
2021-08-28,Brighton,Everton,0.0,2.0,A,76,78,-2
2021-08-28,Aston Villa,Brentford,1.0,1.0,D,78,74,4
2021-08-28,Liverpool,Chelsea,1.0,1.0,D,85,84,1
2021-08-29,Tottenham,Watford,1.0,0.0,H,81,74,7
2021-08-29,Burnley,Leeds,1.0,1.0,D,76,76,0
2021-08-29,Wolves,Man United,0.0,1.0,A,78,83,-5
2021-09-11,Crystal Palace,Tottenham,,,,76,81,-5
2021-09-11,Watford,Wolves,,,,74,78,-4
2021-09-11,Southampton,West Ham,,,,76,79,-3
2021-09-11,Man United,Newcastle,,,,83,77,6
2021-09-11,Leicester,Man City,,,,80,85,-5
2021-09-11,Brentford,Brighton,,,,74,76,-2
2021-09-11,Arsenal,Norwich City,,,,80,73,7
2021-09-11,Chelsea,Aston Villa,,,,84,78,6
2021-09-12,Leeds,Liverpool,,,,76,85,-9
2021-09-13,Everton,Burnley,,,,78,76,2
2021-09-17,Newcastle,Leeds,,,,77,76,1
2021-09-18,Wolves,Brentford,,,,78,74,4
2021-09-18,Norwich City,Watford,,,,73,74,-1
2021-09-18,Man City,Southampton,,,,85,76,9
2021-09-18,Liverpool,Crystal Palace,,,,85,76,9
2021-09-18,Burnley,Arsenal,,,,76,80,-4
2021-09-18,Aston Villa,Everton,,,,78,78,0
2021-09-19,West Ham,Man United,,,,79,83,-4
2021-09-19,Brighton,Leicester,,,,76,80,-4
2021-09-19,Tottenham,Chelsea,,,,81,84,-3
2021-09-25,Chelsea,Man City,,,,84,85,-1
2021-09-25,Watford,Newcastle,,,,74,77,-3
2021-09-25,Man United,Aston Villa,,,,83,78,5
2021-09-25,Leicester,Burnley,,,,80,76,4
2021-09-25,Leeds,West Ham,,,,76,79,-3
2021-09-25,Everton,Norwich City,,,,78,73,5
2021-09-25,Brentford,Liverpool,,,,74,85,-11
2021-09-26,Southampton,Wolves,,,,76,78,-2
2021-09-26,Arsenal,Tottenham,,,,80,81,-1
2021-09-27,Crystal Palace,Brighton,,,,76,76,0
2021-10-02,Man United,Everton,,,,83,78,5
2021-10-02,Wolves,Newcastle,,,,78,77,1
2021-10-02,Leeds,Watford,,,,76,74,2
2021-10-02,Chelsea,Southampton,,,,84,76,8
2021-10-02,Burnley,Norwich City,,,,76,73,3
2021-10-02,Brighton,Arsenal,,,,76,80,-4
2021-10-03,West Ham,Brentford,,,,79,74,5
2021-10-03,Tottenham,Aston Villa,,,,81,78,3
2021-10-03,Crystal Palace,Leicester,,,,76,80,-4
2021-10-03,Liverpool,Man City,,,,85,85,0
2021-10-16,Watford,Liverpool,,,,74,85,-11
2021-10-16,Southampton,Leeds,,,,76,76,0
2021-10-16,Norwich City,Brighton,,,,73,76,-3
2021-10-16,Man City,Burnley,,,,85,76,9
2021-10-16,Leicester,Man United,,,,80,83,-3
2021-10-16,Aston Villa,Wolves,,,,78,78,0
2021-10-16,Brentford,Chelsea,,,,74,84,-10
2021-10-17,Everton,West Ham,,,,78,79,-1
2021-10-17,Newcastle,Tottenham,,,,77,81,-4
2021-10-18,Arsenal,Crystal Palace,,,,80,76,4
2021-10-22,Arsenal,Aston Villa,,,,80,78,2
2021-10-23,Chelsea,Norwich City,,,,84,73,11
2021-10-23,Southampton,Burnley,,,,76,76,0
2021-10-23,Leeds,Wolves,,,,76,78,-2
2021-10-23,Everton,Watford,,,,78,74,4
2021-10-23,Crystal Palace,Newcastle,,,,76,77,-1
2021-10-23,Brighton,Man City,,,,76,85,-9
2021-10-24,West Ham,Tottenham,,,,79,81,-2
2021-10-24,Brentford,Leicester,,,,74,80,-6
2021-10-24,Man United,Liverpool,,,,83,85,-2
2021-10-30,Leicester,Arsenal,,,,80,80,0
2021-10-30,Watford,Southampton,,,,74,76,-2
2021-10-30,Newcastle,Chelsea,,,,77,84,-7
2021-10-30,Man City,Crystal Palace,,,,85,76,9
2021-10-30,Liverpool,Brighton,,,,85,76,9
2021-10-30,Burnley,Brentford,,,,76,74,2
2021-10-30,Tottenham,Man United,,,,81,83,-2
2021-10-31,Norwich City,Leeds,,,,73,76,-3
2021-10-31,Aston Villa,West Ham,,,,78,79,-1
2021-11-01,Wolves,Everton,,,,78,78,0
2021-11-06,West Ham,Liverpool,,,,79,85,-6
2021-11-06,Southampton,Aston Villa,,,,76,78,-2
2021-11-06,Man United,Man City,,,,83,85,-2
2021-11-06,Leeds,Leicester,,,,76,80,-4
2021-11-06,Everton,Tottenham,,,,78,81,-3
2021-11-06,Crystal Palace,Wolves,,,,76,78,-2
2021-11-06,Chelsea,Burnley,,,,84,76,8
2021-11-06,Brighton,Newcastle,,,,76,77,-1
2021-11-06,Brentford,Norwich City,,,,74,73,1
2021-11-06,Arsenal,Watford,,,,80,74,6
2021-11-20,Wolves,West Ham,,,,78,79,-1
2021-11-20,Watford,Man United,,,,74,83,-9
2021-11-20,Tottenham,Leeds,,,,81,76,5
2021-11-20,Norwich City,Southampton,,,,73,76,-3
2021-11-20,Newcastle,Brentford,,,,77,74,3
2021-11-20,Man City,Everton,,,,85,78,7
2021-11-20,Liverpool,Arsenal,,,,85,80,5
2021-11-20,Leicester,Chelsea,,,,80,84,-4
2021-11-20,Burnley,Crystal Palace,,,,76,76,0
2021-11-20,Aston Villa,Brighton,,,,78,76,2
2021-11-27,Norwich City,Wolves,,,,73,78,-5
2021-11-27,Man City,West Ham,,,,85,79,6
2021-11-27,Liverpool,Southampton,,,,85,76,9
2021-11-27,Leicester,Watford,,,,80,74,6
2021-11-27,Crystal Palace,Aston Villa,,,,76,78,-2
2021-11-27,Chelsea,Man United,,,,84,83,1
2021-11-27,Burnley,Tottenham,,,,76,81,-5
2021-11-27,Brighton,Leeds,,,,76,76,0
2021-11-27,Brentford,Everton,,,,74,78,-4
2021-11-27,Arsenal,Newcastle,,,,80,77,3
2021-11-30,Wolves,Burnley,,,,78,76,2
2021-11-30,West Ham,Brighton,,,,79,76,3
2021-11-30,Watford,Chelsea,,,,74,84,-10
2021-11-30,Leeds,Crystal Palace,,,,76,76,0
2021-11-30,Everton,Liverpool,,,,78,85,-7
2021-11-30,Aston Villa,Man City,,,,78,85,-7
2021-11-30,Man United,Arsenal,,,,83,80,3
2021-12-01,Tottenham,Brentford,,,,81,74,7
2021-12-01,Southampton,Leicester,,,,76,80,-4
