Team,Points,Goal_Diff,Win_Rate
Arsenal,54,28.0,0.7391304347826086
Man City,52,36.0,0.6666666666666666
Man United,49,13.0,0.625
Tottenham,42,9.0,0.5416666666666666
Newcastle,41,20.0,0.43478260869565216
Fulham,39,5.0,0.44
Liverpool,35,10.0,0.45454545454545453
Brighton,35,10.0,0.45454545454545453
Brentford,35,7.0,0.34782608695652173
Chelsea,31,0.0,0.34782608695652173
Aston Villa,28,-10.0,0.34782608695652173
Crystal Palace,26,-10.0,0.2608695652173913
Nottingham Forest FC,25,-20.0,0.2608695652173913
Wolves,24,-15.0,0.25
Leicester,24,-5.0,0.30434782608695654
Bournemouth,21,-23.0,0.21739130434782608
Everton,21,-13.0,0.21739130434782608
West Ham,20,-10.0,0.21739130434782608
Leeds,19,-11.0,0.17391304347826086
Southampton,18,-21.0,0.21739130434782608
