Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2022-08-05,Crystal Palace,Arsenal,0.0,2.0,A
2022-08-06,Fulham,Liverpool,2.0,2.0,D
2022-08-06,Tottenham,Southampton,4.0,1.0,H
2022-08-06,Newcastle,Nottingham Forest FC,2.0,0.0,H
2022-08-06,Leeds,Wolves,2.0,1.0,H
2022-08-06,Bournemouth,Aston Villa,2.0,0.0,H
2022-08-06,Everton,Chelsea,0.0,1.0,A
2022-08-07,Man United,Brighton,1.0,2.0,A
2022-08-07,Leicester,Brentford,2.0,2.0,D
2022-08-07,West Ham,Man City,0.0,2.0,A
2022-08-13,Aston Villa,Everton,2.0,1.0,H
2022-08-13,Wolves,Fulham,0.0,0.0,D
2022-08-13,Southampton,Leeds,2.0,2.0,D
2022-08-13,Man City,Bournemouth,4.0,0.0,H
2022-08-13,Brighton,Newcastle,0.0,0.0,D
2022-08-13,Arsenal,Leicester,4.0,2.0,H
2022-08-13,Brentford,Man United,4.0,0.0,H
2022-08-14,Nottingham Forest FC,West Ham,1.0,0.0,H
2022-08-14,Chelsea,Tottenham,2.0,2.0,D
2022-08-15,Liverpool,Crystal Palace,1.0,1.0,D
2022-08-20,Tottenham,Wolves,1.0,0.0,H
2022-08-20,Leicester,Southampton,1.0,2.0,A
2022-08-20,Fulham,Brentford,3.0,2.0,H
2022-08-20,Everton,Nottingham Forest FC,1.0,1.0,D
2022-08-20,Crystal Palace,Aston Villa,3.0,1.0,H
2022-08-20,Bournemouth,Arsenal,0.0,3.0,A
2022-08-21,West Ham,Brighton,0.0,2.0,A
2022-08-21,Leeds,Chelsea,3.0,0.0,H
2022-08-21,Newcastle,Man City,3.0,3.0,D
2022-08-22,Man United,Liverpool,2.0,1.0,H
2022-08-27,Southampton,Man United,0.0,1.0,A
2022-08-27,Man City,Crystal Palace,4.0,2.0,H
2022-08-27,Liverpool,Bournemouth,9.0,0.0,H
2022-08-27,Chelsea,Leicester,2.0,1.0,H
2022-08-27,Brighton,Leeds,1.0,0.0,H
2022-08-27,Brentford,Everton,1.0,1.0,D
2022-08-27,Arsenal,Fulham,2.0,1.0,H
2022-08-28,Wolves,Newcastle,1.0,1.0,D
2022-08-28,Aston Villa,West Ham,0.0,1.0,A
2022-08-28,Nottingham Forest FC,Tottenham,0.0,2.0,A
2022-08-30,Crystal Palace,Brentford,1.0,1.0,D
2022-08-30,Fulham,Brighton,2.0,1.0,H
2022-08-30,Southampton,Chelsea,2.0,1.0,H
2022-08-30,Leeds,Everton,1.0,1.0,D
2022-08-31,Man City,Nottingham Forest FC,6.0,0.0,H
2022-08-31,Bournemouth,Wolves,0.0,0.0,D
2022-08-31,Arsenal,Aston Villa,2.0,1.0,H
2022-08-31,West Ham,Tottenham,1.0,1.0,D
2022-08-31,Liverpool,Newcastle,2.0,1.0,H
2022-09-01,Leicester,Man United,0.0,1.0,A
2022-09-03,Everton,Liverpool,0.0,0.0,D
2022-09-03,Wolves,Southampton,1.0,0.0,H
2022-09-03,Tottenham,Fulham,2.0,1.0,H
2022-09-03,Nottingham Forest FC,Bournemouth,2.0,3.0,A
2022-09-03,Newcastle,Crystal Palace,0.0,0.0,D
2022-09-03,Chelsea,West Ham,2.0,1.0,H
2022-09-03,Brentford,Leeds,5.0,2.0,H
2022-09-03,Aston Villa,Man City,1.0,1.0,D
2022-09-04,Brighton,Leicester,5.0,2.0,H
2022-09-04,Man United,Arsenal,3.0,1.0,H
2022-09-16,Nottingham Forest FC,Fulham,2.0,3.0,A
2022-09-16,Aston Villa,Southampton,1.0,0.0,H
2022-09-17,Wolves,Man City,0.0,3.0,A
2022-09-17,Newcastle,Bournemouth,1.0,1.0,D
2022-09-17,Tottenham,Leicester,6.0,2.0,H
2022-09-18,Brentford,Arsenal,0.0,3.0,A
2022-09-18,Everton,West Ham,1.0,0.0,H
2022-10-01,Arsenal,Tottenham,3.0,1.0,H
2022-10-01,Southampton,Everton,1.0,2.0,A
2022-10-01,Liverpool,Brighton,3.0,3.0,D
2022-10-01,Fulham,Newcastle,1.0,4.0,A
2022-10-01,Crystal Palace,Chelsea,1.0,2.0,A
2022-10-01,Bournemouth,Brentford,0.0,0.0,D
2022-10-01,West Ham,Wolves,2.0,0.0,H
2022-10-02,Man City,Man United,6.0,3.0,H
2022-10-02,Leeds,Aston Villa,0.0,0.0,D
2022-10-03,Leicester,Nottingham Forest FC,4.0,0.0,H
2022-10-08,Newcastle,Brentford,5.0,1.0,H
2022-10-08,Man City,Southampton,4.0,0.0,H
2022-10-08,Chelsea,Wolves,3.0,0.0,H
2022-10-08,Bournemouth,Leicester,2.0,1.0,H
2022-10-08,Brighton,Tottenham,0.0,1.0,A
2022-10-09,West Ham,Fulham,3.0,1.0,H
2022-10-09,Crystal Palace,Leeds,2.0,1.0,H
2022-10-09,Arsenal,Liverpool,3.0,2.0,H
2022-10-09,Everton,Man United,1.0,2.0,A
2022-10-10,Nottingham Forest FC,Aston Villa,1.0,1.0,D
2022-10-14,Brentford,Brighton,2.0,0.0,H
2022-10-15,Leicester,Crystal Palace,0.0,0.0,D
2022-10-15,Wolves,Nottingham Forest FC,1.0,0.0,H
2022-10-15,Fulham,Bournemouth,2.0,2.0,D
2022-10-15,Tottenham,Everton,2.0,0.0,H
2022-10-16,Southampton,West Ham,1.0,1.0,D
2022-10-16,Man United,Newcastle,0.0,0.0,D
2022-10-16,Leeds,Arsenal,0.0,1.0,A
2022-10-16,Aston Villa,Chelsea,0.0,2.0,A
2022-10-16,Liverpool,Man City,1.0,0.0,H
2022-10-18,Brighton,Nottingham Forest FC,0.0,0.0,D
2022-10-18,Crystal Palace,Wolves,2.0,1.0,H
2022-10-19,Liverpool,West Ham,1.0,0.0,H
2022-10-19,Newcastle,Everton,1.0,0.0,H
2022-10-19,Brentford,Chelsea,0.0,0.0,D
2022-10-19,Bournemouth,Southampton,0.0,1.0,A
2022-10-19,Man United,Tottenham,2.0,0.0,H
2022-10-20,Fulham,Aston Villa,3.0,0.0,H
2022-10-20,Leicester,Leeds,2.0,0.0,H
2022-10-22,Nottingham Forest FC,Liverpool,1.0,0.0,H
2022-10-22,Man City,Brighton,3.0,1.0,H
2022-10-22,Everton,Crystal Palace,3.0,0.0,H
2022-10-22,Chelsea,Man United,1.0,1.0,D
2022-10-23,Southampton,Arsenal,1.0,1.0,D
2022-10-23,Leeds,Fulham,2.0,3.0,A
