Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2021-08-13,Brentford,Arsenal,2.0,0.0,H,74,80,-6,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,61.0,16.0,0.4736842105263157,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-62.0,-17.0,-0.4736842105263157,,0.0
2021-08-14,Man United,Leeds,5.0,1.0,H,83,76,7,0.0,0.0,74.0,29.0,0.5526315789473685,0.0,0.0,0.0,,0.0,0.0,59.0,8.0,0.4736842105263157,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,15.0,21.0,0.07894736842105277,,0.0
2021-08-14,Watford,Aston Villa,3.0,2.0,H,74,78,-4,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,55.0,9.0,0.4210526315789473,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-56.0,-10.0,-0.4210526315789473,,0.0
2021-08-14,Leicester,Wolves,1.0,0.0,H,80,78,2,0.0,0.0,66.0,18.0,0.5263157894736842,0.0,0.0,0.0,,0.0,0.0,45.0,-16.0,0.3157894736842105,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,21.0,34.0,0.21052631578947367,,0.0
2021-08-14,Everton,Southampton,3.0,1.0,H,78,76,2,0.0,0.0,59.0,-1.0,0.4473684210526316,0.0,0.0,0.0,,0.0,0.0,43.0,-21.0,0.3157894736842105,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,16.0,20.0,0.13157894736842107,,0.0
2021-08-14,Chelsea,Crystal Palace,3.0,0.0,H,84,76,8,0.0,0.0,67.0,22.0,0.5,0.0,0.0,0.0,,0.0,0.0,44.0,-25.0,0.3157894736842105,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,23.0,47.0,0.1842105263157895,,0.0
2021-08-14,Burnley,Brighton,1.0,2.0,A,76,76,0,0.0,0.0,39.0,-22.0,0.2631578947368421,0.0,0.0,0.0,,0.0,0.0,41.0,-6.0,0.2368421052631578,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-2.0,-16.0,0.026315789473684292,,0.0
2021-08-14,Norwich City,Liverpool,0.0,3.0,A,73,85,-12,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,69.0,26.0,0.5263157894736842,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-70.0,-27.0,-0.5263157894736842,,0.0
2021-08-15,Newcastle,West Ham,2.0,4.0,A,77,79,-2,0.0,0.0,45.0,-16.0,0.3157894736842105,0.0,0.0,0.0,,0.0,0.0,65.0,15.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-20.0,-31.0,-0.1842105263157895,,0.0
2021-08-15,Tottenham,Man City,1.0,0.0,H,81,85,-4,0.0,0.0,62.0,23.0,0.4736842105263157,0.0,0.0,0.0,,0.0,0.0,86.0,51.0,0.7105263157894737,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-24.0,-28.0,-0.23684210526315796,,0.0
